movie_code,duration,facenumber_in_poster,country,budget,gross,num_voted_users,num_user_for_reviews,num_critic_for_reviews,movie_facebook_likes,director_facebook_likes,actor_1_facebook_likes,actor_2_facebook_likes,actor_3_facebook_likes,cast_total_facebook_likes,imdb_score,imdb_score_class
134,113,7,USA,100000000,79711678,199039,479,526,82000,13000,40000,17000,16000,80849,6.2,Good
135,131,0,China,150000000,195000874,232187,440,465,47000,188,10000,10000,641,21840,7.4,Good
136,119,0,USA,150000000,61937495,89442,432,357,0,394,12000,490,162,13071,5.8,Fair
137,110,2,USA,180000000,124051759,42372,239,248,29000,282,11000,10000,103,21175,6.6,Good
138,91,0,USA,150000000,126597121,105902,206,194,0,58,2000,852,826,6576,6.2,Good
139,90,0,USA,150000000,165230261,182718,209,284,20000,90,11000,10000,15,21015,7.3,Good
140,103,0,USA,150000000,131564731,118951,1382,280,18000,0,1000,756,346,2857,4.2,Fair
141,124,0,USA,150000000,133382309,256695,871,310,0,14000,22000,10000,979,34817,6.9,Good
142,131,2,USA,150000000,73103784,164238,434,339,33000,776,17000,551,256,18204,6.4,Good
143,88,0,USA,150000000,21379315,17590,112,132,0,25,921,562,433,2652,5.4,Fair
144,85,0,UK,149000000,64459316,85086,122,135,0,42,20000,14000,586,35161,6.7,Good
145,111,4,USA,150000000,34964818,39956,186,256,24000,456,20000,548,394,21393,5.8,Fair
146,92,2,USA,145000000,111505642,47900,130,196,11000,50,3000,1000,517,5810,6.9,Good
147,196,2,USA,175000000,133228348,381672,1694,220,0,249,11000,5000,844,17944,7.2,Good
148,93,0,USA,145000000,216366733,119213,154,211,17000,35,851,770,436,2444,6.9,Good
149,133,0,UK,142000000,160201106,169914,1185,264,0,93,769,766,746,2538,6.1,Good
150,116,4,USA,144000000,118099659,69757,1211,464,62000,176,783,370,322,2097,5.5,Fair
151,153,0,USA,140000000,201573391,322395,1171,167,11000,0,13000,12000,537,26029,6.6,Good
152,88,2,USA,140000000,190418803,270207,606,208,2000,188,10000,3000,826,14823,6.1,Good
153,115,1,USA,150000000,82161969,142440,505,287,3000,0,18000,12000,964,31523,6.3,Good
154,95,0,USA,145000000,143523463,64322,145,210,24000,5,24000,11000,967,36095,7.2,Good
155,133,3,USA,145000000,209364921,365104,512,432,35000,663,10000,10000,690,21768,7.4,Good
156,97,0,USA,145000000,103400692,123553,174,256,25000,52,20000,315,161,20645,7.3,Good
157,90,1,USA,100000000,110332737,110788,258,135,2000,23,957,550,233,1997,6.1,Good
158,154,1,USA,140000000,111110575,317166,928,190,0,380,10000,956,445,11945,7.7,Good
159,150,0,UK,140000000,65007045,128682,657,314,51000,0,23000,893,748,26490,6.1,Good
160,127,0,USA,150000000,257704099,504419,1559,518,19000,14000,26000,12000,981,39284,8,Good
161,121,0,USA,139000000,403706375,544665,2012,291,5000,0,24000,11000,4000,40484,7.3,Good
162,102,5,USA,145000000,176997107,221128,343,292,46000,255,18000,3000,953,23378,7.9,Good
163,126,4,USA,140000000,31141074,51892,273,184,24000,295,18000,934,284,19769,5.5,Fair
164,121,0,USA,135000000,31704416,45455,388,145,0,357,820,780,653,2705,5,Fair
165,215,1,USA,130000000,107503316,392474,1229,451,18000,0,986,745,413,2530,7.7,Good
166,127,2,USA,140000000,129734803,127497,287,141,0,503,5000,808,91,6171,6.6,Good
167,138,0,USA,137000000,132122995,212106,1445,267,0,0,820,300,258,1814,5.7,Fair
168,122,6,USA,130000000,122512052,146352,288,351,42000,209,17000,12000,934,31958,5.8,Fair
169,124,3,UK,130000000,68642452,77673,463,163,0,42,11000,973,848,13073,6,Fair
170,106,1,USA,137000000,32131830,72259,788,166,0,6,12000,2000,422,15015,6.4,Good
171,124,0,USA,140000000,176636816,508818,679,510,46000,394,11000,3000,2000,19761,6.9,Good
172,128,2,UK,135000000,126930660,157519,683,197,2000,150,766,536,244,2037,6.4,Good
173,138,1,USA,150000000,93926386,168207,684,244,0,608,613,172,168,1205,7.4,Good
174,115,3,USA,120000000,292298923,185394,329,322,65000,386,21000,17000,12000,59177,5.5,Fair
175,100,0,Australia,135000000,63992328,32399,79,156,0,750,49000,11000,988,62644,5.9,Fair
176,135,0,USA,150000000,134518390,326286,643,354,0,255,3000,1000,882,5811,6.8,Good
177,60,2,USA,1500000,,16769,74,21,0,,982,321,184,1687,7.5,Good
178,117,0,UK,140000000,52792307,12572,106,252,27000,14000,535,400,358,1950,6.8,Good
179,156,0,USA,135000000,183635922,406020,1188,556,190000,0,29000,27000,733,57108,8.1,Excellent
180,96,0,USA,135000000,83024900,62424,90,166,13000,13,16000,881,463,17416,6.5,Good
181,107,0,USA,135000000,123207194,183208,337,362,26000,563,40000,1000,939,43291,7.2,Good
182,92,0,USA,132000000,83348920,60230,118,153,11000,35,19000,411,179,19963,6.7,Good
183,115,0,USA,110000000,227137090,491077,820,329,0,521,13000,897,883,17369,8.1,Excellent
184,92,0,USA,130000000,215395021,307029,360,266,6000,54,11000,967,562,12754,7.6,Good
185,117,6,USA,130000000,180191634,313866,549,517,61000,235,2000,2000,680,5730,7.4,Good
186,146,1,USA,130000000,424645577,498397,706,502,82000,508,34000,14000,523,49355,7.6,Good
187,115,3,USA,120000000,292298923,185394,329,322,65000,386,21000,17000,12000,59177,5.5,Fair
188,94,0,USA,135000000,177343675,70121,214,165,26000,12,17000,523,183,17883,6.7,Good
189,116,0,USA,132000000,234277056,334345,2741,401,0,14000,10000,1000,807,12758,6.5,Good
190,147,1,USA,130000000,138396624,178126,511,94,0,0,10000,898,877,12954,6.6,Good
191,90,0,USA,130000000,149234747,114287,137,246,16000,50,4000,442,397,5046,6.7,Good
192,101,1,USA,110000000,118311368,245621,514,330,23000,176,11000,702,282,12406,6.4,Good
193,138,2,USA,125000000,101160529,200022,1240,434,71000,0,12000,9000,8000,32355,5.8,Fair
194,107,1,USA,135000000,77564037,177383,447,440,44000,14000,2000,871,845,4631,7.4,Good
195,142,3,UK,130000000,249358727,382255,1504,274,11000,0,11000,10000,10000,33284,7.8,Good
196,165,0,Australia,130000000,49551662,102338,450,245,0,1000,309,284,165,921,6.6,Good
197,100,0,USA,130000000,60522097,158720,744,349,37000,0,10000,943,894,14168,4.9,Fair
198,82,1,USA,127500000,137748063,38438,241,145,0,0,1000,558,388,2945,6.5,Good
199,,1,UK,,,381,2,1,40,0,10000,570,159,11036,7.5,Good
200,98,7,USA,127000000,113733726,67223,126,154,11000,189,49000,3000,1000,53587,6.2,Good
201,95,3,USA,130000000,148337537,172754,187,233,13000,96,24000,11000,8000,46120,7.3,Good
202,159,4,UK,125000000,317557891,444683,1571,258,16000,0,11000,687,645,13191,7.5,Good
203,96,2,USA,130000000,33592415,91640,210,208,20000,124,16000,12000,1000,31549,5.6,Fair
204,120,0,Japan,,,374,13,1,0,28,544,106,12,699,8.2,Excellent
205,143,3,USA,140000000,305388685,809474,2113,271,10000,563,40000,5000,1000,48184,8.1,Excellent
206,,1,UK,,,252,2,4,25,0,10000,2000,1000,14719,6.4,Good
207,123,1,USA,125000000,337103873,305008,591,403,52000,508,34000,22000,14000,81385,6.7,Good
208,174,2,USA,125000000,217536138,314253,1966,294,0,2000,15000,574,362,16008,6.6,Good
209,101,0,USA,103000000,131536019,58498,99,159,0,107,688,237,56,1031,6.4,Good
210,134,4,Canada,110000000,214948780,405973,1055,289,0,0,20000,505,346,20952,7.5,Good
211,132,3,USA,125000000,209805005,284792,366,342,54000,681,23000,14000,12000,55345,7.3,Good
212,129,2,USA,125000000,186830669,338635,412,382,39000,0,21000,979,154,22403,7.5,Good
213,106,0,USA,125000000,163192114,229679,637,344,15000,255,14000,1000,850,18003,5.8,Fair
214,113,0,USA,65000000,119412921,240241,391,196,0,719,605,308,217,1441,7.5,Good
215,102,1,USA,85000000,32694788,101411,546,85,0,323,845,372,241,1815,6.6,Good
216,135,0,USA,125000000,113165635,229823,504,436,31000,209,10000,826,602,12175,6.7,Good
217,125,3,USA,125000000,107285004,189855,1018,183,0,541,920,890,409,2699,3.7,Bad
218,110,0,USA,123000000,260031035,141414,482,175,0,2000,1000,722,636,4146,6,Fair
219,124,0,USA,125000000,186739919,333248,1159,239,19000,776,15000,2000,812,20553,6.4,Good
220,123,0,USA,125000000,215397307,242188,1426,237,0,610,10000,794,653,11930,6.1,Good
221,130,0,USA,140000000,182618434,133076,779,231,0,249,784,638,461,2684,6.4,Good
222,92,3,USA,130000000,131920333,213275,436,262,0,167,11000,2000,702,15302,5.6,Fair
223,127,0,USA,120000000,124976634,440084,755,552,122000,0,774,358,341,2121,8,Good
224,123,1,USA,110000000,115802596,182661,681,276,0,160,12000,701,402,14017,5.2,Fair
225,123,0,UK,120000000,108521835,40123,297,267,31000,521,13000,365,265,13752,7.1,Good
226,107,0,USA,120000000,100685880,100821,554,102,0,368,2000,1000,1000,4046,4.8,Fair
227,124,0,USA,130000000,126464904,456260,2326,775,97000,0,13000,9000,641,24098,7,Good
228,77,0,USA,120000000,64736114,36471,69,71,459,50,886,799,537,2682,5.4,Fair
229,109,0,USA,115000000,93050117,338087,814,476,61000,662,13000,2000,1000,17689,6.6,Good
230,134,0,USA,105000000,57637485,183909,666,207,0,123,14000,850,567,17159,6.7,Good
231,117,0,USA,100000000,58607007,182899,630,492,60000,294,10000,2000,1000,14161,6.2,Good
232,135,0,USA,120000000,43929341,57873,414,284,0,0,690,107,87,902,6.1,Good
233,121,4,USA,120000000,30212620,35066,196,168,0,274,273,216,157,993,5.3,Fair
234,117,0,USA,117000000,76418654,148280,348,283,11000,446,10000,973,877,12731,6.3,Good
235,124,0,USA,120000000,89021735,387436,892,539,71000,364,11000,10000,1000,22004,7,Good
236,140,4,USA,113000000,380262555,520104,3286,359,10000,0,20000,16000,4000,44042,7.6,Good
237,142,3,USA,115000000,310675583,464310,3516,284,0,0,20000,16000,4000,42990,6.7,Good
238,92,0,USA,115000000,289907418,585659,593,250,0,0,12000,1000,773,15013,8.1,Excellent
239,138,1,USA,120000000,132550960,328067,533,440,68000,446,20000,992,929,23755,6.7,Good
240,136,1,USA,115000000,474544677,534658,3597,320,13000,0,20000,14000,1000,37723,6.5,Good
241,98,3,USA,135000000,187165546,150618,195,257,28000,16,16000,15000,12000,43286,7.3,Good
242,116,1,France,78000000,,20567,36,33,291,0,936,276,141,1609,5.1,Fair
243,153,0,USA,115000000,40911830,55994,454,152,0,610,12000,836,617,15046,6,Fair
244,120,2,USA,115000000,47952020,37750,134,231,16000,19,26000,11000,9000,46719,6.1,Good
245,101,0,USA,125000000,190871240,167085,491,348,62000,473,833,809,429,2690,5.9,Fair
246,91,0,UK,100000000,274084951,582917,1885,738,147000,0,39,23,13,87,7.8,Good
247,108,1,USA,116000000,67155742,62271,277,93,0,79,650,293,268,1569,5.8,Fair
248,112,,USA,135000000,81638674,17533,115,181,12000,13,5000,833,799,8306,6.3,Good
249,100,3,USA,120000000,56114221,110486,695,369,41000,128,596,360,78,1261,4.3,Fair
250,108,2,USA,110000000,250863268,234480,444,179,3000,189,49000,3000,1000,55486,6.4,Good
251,114,0,USA,110000000,155181732,147497,499,358,52000,62,12000,2000,884,16718,6.1,Good
252,119,3,UK,110000000,125332007,149680,328,160,0,55,811,766,387,2958,6.5,Good
253,142,1,USA,110000000,113330342,207613,1144,192,4000,776,13000,2000,1000,19454,7.1,Good
254,125,0,USA,110000000,125531634,284852,627,198,0,0,11000,8000,350,19359,6.4,Good
255,126,2,USA,120000000,186336103,348861,798,233,0,218,11000,11000,322,22722,6.5,Good
256,119,0,USA,110000000,129995817,154621,258,263,27000,124,14000,5000,1000,22622,6.3,Good
257,170,0,USA,110000000,102608827,264318,799,267,0,17000,29000,3000,827,34582,7.5,Good
258,85,1,USA,112000000,42776259,53160,121,184,0,11,480,392,116,1173,4.9,Fair
259,119,0,USA,120000000,98780042,136019,443,447,14000,1000,11000,1000,741,13391,5.8,Fair
260,60,4,USA,,,25402,97,29,0,,669,554,432,1655,7.6,Good
261,102,0,USA,110000000,106369117,225273,523,366,71000,263,6000,1000,1000,10583,6.2,Good
262,103,3,USA,110000000,142614158,66593,153,172,31000,67,383,113,111,692,5.5,Fair
263,76,0,USA,110000000,50026353,13581,88,104,304,6,12000,513,421,13607,5.4,Fair
264,120,3,USA,110000000,66002193,44296,144,181,12000,124,6000,5000,943,12452,5.8,Fair
265,127,1,USA,110000000,85463309,254841,426,327,36000,189,20000,929,544,22254,7.1,Good
266,105,3,USA,105000000,71017784,27257,59,125,0,67,681,71,40,914,5.4,Fair
267,121,0,USA,160000000,48068396,60573,248,79,894,101,673,368,202,2027,3.7,Bad
268,114,4,USA,110000000,61656849,184561,554,326,123000,151,11000,635,430,12908,6.7,Good
269,129,1,USA,110000000,134520804,336235,782,354,0,235,13000,300,297,13961,7.2,Good
270,171,2,New Zealand,93000000,313837577,1238746,5060,297,21000,0,16000,5000,857,22342,8.8,Excellent
271,120,0,USA,110000000,24004159,68720,191,188,0,153,1000,1000,447,3175,5.8,Fair
272,165,1,USA,107000000,58183966,79186,386,174,0,0,10000,851,780,14196,6.8,Good
273,82,1,USA,109000000,100446895,36033,456,109,946,34,760,743,434,2762,3.8,Bad
274,115,1,USA,120000000,144795350,387632,789,225,0,295,10000,981,466,12068,7.1,Good
275,194,1,USA,130000000,47396698,217373,942,239,0,0,14000,5000,195,19600,7.2,Good
276,84,0,Germany,133000000,140015224,94172,179,101,0,50,979,886,692,3382,5.9,Fair
277,97,0,USA,105000000,104374107,89351,214,228,5000,63,852,578,525,2480,7.1,Good
278,151,1,USA,108000000,228430993,472488,1023,568,153000,0,13000,801,372,14831,8.1,Excellent
279,22,0,,,,6,,,0,0,5,,,5,7.2,Good
280,136,1,USA,126000000,35799026,263329,899,257,0,0,19000,12000,3000,34839,6.9,Good
281,104,0,New Line,90000000,6712451,4102,89,62,53,23,752,631,591,3133,4.4,Fair
282,127,1,USA,90000000,101643008,218341,498,175,0,57,12000,11000,3000,29069,6.5,Good
283,171,0,USA,103000000,187670866,982637,2368,265,21000,0,3000,933,695,6521,8.5,Excellent
284,145,0,USA,102000000,132014112,399651,1331,252,0,14000,10000,798,533,12546,7.7,Good
285,174,1,UK,100000000,261970615,387616,858,232,0,0,11000,10000,9000,35672,7.4,Good
286,144,1,UK,150000000,167007184,470483,2301,400,0,258,6000,1000,834,9125,8,Good
287,119,0,USA,100000000,180011740,177725,1368,230,0,13000,1000,658,567,2776,5.7,Fair
288,153,0,USA,102000000,204843350,744891,983,210,13000,0,780,604,539,2829,8.5,Excellent
289,140,1,USA,100000000,97030725,230931,585,357,0,0,40000,23000,1000,64599,7,Good
290,176,0,USA,100000000,130127620,324671,458,300,0,0,18000,782,561,20354,7.8,Good
291,141,0,USA,115000000,146282411,190439,351,94,0,0,2000,1000,618,4528,7.2,Good
292,106,1,USA,100000000,65452312,149998,285,267,0,12000,18000,464,385,19906,6.4,Good
293,98,10,USA,100000000,148383780,85531,152,180,0,80,22000,713,708,24082,5.5,Fair
294,116,2,USA,100000000,119219978,189806,316,265,16000,285,12000,8000,107,20233,6.7,Good
295,115,1,USA,100000000,101228120,84424,131,81,0,55,1000,773,383,3454,6.1,Good
