User ID;Category 1;Category 2;Category 3;Category 4;Category 5;Category 6;Category 7;Category 8;Category 9;Category 10
User 782;0.8;1.28;1.95;0.47;1.14;1.7;3.18;2.87;1.7;2.78
User 783;0.74;1.28;0.21;0.55;1.58;1.5;3.18;2.75;1.76;2.94
User 784;1.01;1.08;0.25;0.3;0.4;0.94;3.17;2.99;1.28;3.18
User 785;0.9;1.16;0.43;0.43;0.7;1.42;3.17;2.95;1.31;3.1
User 786;0.8;0.84;2.49;0.45;0.74;2.12;3.19;3.1;2.05;2.56
User 787;0.77;1.32;1.97;0.53;0.82;1.94;3.19;2.98;1.28;2.54
User 788;0.51;1.96;0.19;0.63;0.48;2;3.18;2.87;1.5;2.98
User 789;0.9;1.08;0.75;0.34;1.5;1.86;3.17;2.81;1.34;3.34
User 790;0.74;1.24;1.71;0.43;1.58;2.48;3.19;2.78;1.76;2.54
User 791;0.86;1.2;2.22;0.33;0.9;1.74;3.18;2.98;1.6;3.2
User 792;0.83;1.32;2.86;0.56;1.1;2.6;3.2;2.72;1.41;2.42
User 793;1.02;2;1.71;0.54;1.52;2.74;3.19;2.74;1.92;2.5
User 794;1.82;1.16;0.35;0.46;0.4;1.02;3.18;2.95;2.37;2.72
User 795;0.8;0.88;0.53;0.55;1.1;2.14;3.18;2.81;1.6;2.8
User 796;2.14;1.92;2.02;0.59;1.52;2.96;3.19;2.82;1.66;2.48
User 797;0.51;1.48;0.24;0.42;0.72;1.46;3.18;3.01;1.6;2.62
User 798;0.83;1.28;0.21;0.55;0.62;1.02;3.17;2.63;1.47;3.2
User 799;0.9;1.36;2.21;0.47;0.86;2.14;3.19;2.78;1.28;2.64
User 800;0.67;1.44;2.9;0.53;0.86;1.78;3.2;2.9;1.54;2.34
User 801;1.22;1.12;0.45;0.49;0.46;0.9;3.17;2.86;1.5;3.52
User 802;1.09;1.04;1.65;0.47;1.36;2.22;3.18;2.74;1.12;3.1
User 803;1.17;0.32;2.16;0.47;0.98;1.9;3.19;3.07;1.25;2.64
User 804;1.31;0.04;0.98;0.55;0.54;0.94;3.18;2.83;1.34;2.66
User 805;0.64;1.64;1.46;0.5;1.34;2.22;3.18;2.79;1.86;2.62
User 806;0.8;1.96;2.69;0.55;1.34;3.04;3.2;2.7;1.66;2.46
