User ID;Category 1;Category 2;Category 3;Category 4
User 121;0.86;1.96;1.25;0.56
User 122;0.77;1.04;0.26;0.66
User 123;0.93;2.68;1.3;0.42
User 124;1.98;0.48;0.75;0.69
User 125;0.74;1.52;1.38;0.59
User 126;0.64;1.36;0.19;0.46
User 127;0.51;1.44;0.42;0.33
User 128;1.06;1.68;1.02;0.66
User 129;1.09;1.48;0.99;0.35
User 130;0.54;1.2;0.45;0.39
User 131;0.9;0.88;1.52;0.46
User 132;0.83;1.68;1.14;0.51
User 133;0.93;1.64;1.73;0.55
User 134;0.38;1.28;1.54;0.62
User 135;0.51;1.64;0.27;0.3
User 136;0.8;0.96;0.73;0.61
User 137;1.15;1.72;1.62;0.61
User 138;0.51;1.16;1.66;0.53
User 139;0.96;1.4;0.74;0.37
User 140;1.09;1.32;0.74;0.39
User 141;0.74;1.28;0.26;0.3
User 142;0.8;1.12;0.19;0.46
User 143;0.86;1.96;0.61;0.42
User 144;0.61;1.04;0.34;0.45
User 145;0.9;1.4;0.19;0.59
User 146;0.96;2.96;0.29;0.38
User 147;1.09;0.6;0.19;0.61
User 148;0.8;1.24;1.98;0.67
User 149;0.86;1.28;1.01;0.55
User 150;0.77;1.52;1.33;0.51
User 151;1.18;1.12;1.01;0.39
User 152;0.74;1.64;0.18;0.55
User 153;0.64;1.6;0.21;0.54
User 154;0.64;1.56;0.22;0.57
User 155;1.09;1.44;0.22;0.37
User 156;1.02;1.16;1.22;0.29
User 157;0.9;1.64;0.32;0.5
User 158;2.05;1.12;0.7;0.37
User 159;1.18;2.04;1.89;0.5
User 160;1.06;1.76;1.02;0.27
User 161;0.58;1.12;1.57;0.45
User 162;1.15;1.08;0.51;0.37
User 163;0.9;1.84;0.51;0.66
User 164;0.7;1.28;0.93;0.47
User 165;0.8;1.16;1.09;0.23
User 166;0.9;1.64;0.21;0.5
User 167;0.7;0.8;2.56;0.5
User 168;0.61;1.04;0.83;0.46
User 169;0.67;2.04;2.82;0.51
User 170;0.7;1.28;1.49;0.46
User 171;0.93;1.16;0.26;0.51
User 172;1.9;0.4;0.45;0.48
User 173;0.74;1.96;0.14;0.65
User 174;1.06;1.28;0.22;0.49
User 175;0.96;1.08;0.8;0.66
User 176;0.42;1.88;0.26;1.05
User 177;1.02;1.16;0.78;0.41
User 178;0.99;1.08;0.93;0.41
User 179;0.7;0.96;0.22;0.47
User 180;0.77;1.24;0.21;0.54
User 181;0.58;1.44;0.19;0.53
User 182;0.8;1.2;1.25;0.43
User 183;1.28;1.48;1.42;0.61
User 184;1.38;1.12;1.8;0.37
User 185;1.06;1.04;2.5;0.56
User 186;0.96;1.2;0.36;0.43
User 187;0.58;1.12;0.27;0.47
User 188;1.41;1.32;0.19;0.56
User 189;1.02;1.04;1.33;0.61
User 190;0.93;0.6;0.18;0.33
User 191;0.51;1.08;2.48;0.57
User 192;0.83;1.32;1.89;0.65
User 193;1.7;0.64;0.43;0.41
User 194;0.9;1.56;0.22;0.35
User 195;0.34;1.16;0.18;0.4
User 196;0.8;1;0.22;0.34
User 197;0.7;1.04;1.41;0.31
User 198;1.28;0.68;2.06;0.38
User 199;0.64;1.48;0.99;0.31
User 200;1.25;2.16;0.22;1.79
User 201;1.06;1.28;2.5;0.62
User 202;1.12;1.56;0.38;0.55
User 203;0.7;0.92;2.77;0.54
User 204;1.06;1.12;0.22;0.39
User 205;0.83;0.88;0.82;0.42
User 206;0.99;2.08;0.27;0.33
User 207;0.99;1.28;0.19;0.27
User 208;0.8;0.84;0.24;0.5
User 209;0.77;0.88;1.71;0.48
User 210;1.06;1.12;0.98;0.21
User 211;0.54;1.44;1.31;0.32
User 212;0.93;1.36;1.94;0.34
User 213;0.83;2.04;0.42;0.51
User 214;0.51;1.32;0.24;0.38
User 215;0.61;1.56;0.16;0.37
User 216;0.7;1.28;1.66;0.49
User 217;0.61;1.52;0.18;0.26
User 218;0.9;1.2;0.5;0.45
User 219;1.02;0.72;1.2;0.47
User 220;0.9;0.88;2.05;0.45
User 221;0.77;1.08;0.29;0.58
User 222;1.25;1.12;1.47;0.41
User 223;1.15;2.32;2.4;0.5
User 224;0.93;1.32;0.14;0.47
User 225;0.61;1.2;2.05;0.61
User 226;1.02;1.96;0.27;0.35
User 227;0.9;2.24;0.27;1.78
User 228;0.67;1.2;1.39;0.41
User 229;0.54;2.96;0.58;0.57
User 230;0.61;1.04;1.98;0.55
User 231;0.61;1;0.22;0.58
User 232;0.58;1.44;2.1;0.64
User 233;0.83;1.96;0.51;0.31
User 234;0.48;1.96;0.24;0.35
User 235;0.61;0.84;0.15;0.38
User 236;0.34;1.16;0.18;0.4
User 237;1.41;1.08;1.34;0.65
User 238;0.58;1.84;0.22;0.73
User 239;0.96;0.88;1.02;0.64
User 240;2.08;0.48;0.18;0.15
User 241;0.7;0.92;2.77;0.54
User 242;1.25;2.48;1.76;0.54
User 243;0.74;1.6;1.2;0.56
User 244;0.74;1.84;1.02;0.41
User 245;0.83;1.56;0.22;0.23
User 246;0.64;1.2;0.98;0.42
User 247;1.33;0.52;0.22;0.46
User 248;1.5;1.96;2.08;2.73
User 249;0.96;0.64;0.67;0.33
User 250;0.34;1.16;0.18;0.4
User 251;0.51;1;1.57;0.56
User 252;0.67;1.16;0.26;0.39
User 253;0.51;1.28;2;0.4
User 254;0.58;1.2;2.05;0.71
User 255;0.61;2.4;0.64;0.42
User 256;1.09;1.76;0.67;0.54
User 257;0.9;0.88;0.29;0.39
User 258;0.93;1.96;0.22;1.62
User 259;2.22;0.24;1.09;0.48
User 260;0.61;1.32;1.62;0.72
User 261;0.77;0.72;1.07;0.53
User 262;0.96;1.44;1.09;0.63
User 263;1.58;0.88;0.29;0.53
User 264;0.61;1.72;1.74;0.51
User 265;1.06;1.2;0.48;0.41
User 266;1.22;1.36;1.33;0.59
User 267;1.12;1.16;2.3;0.5
User 268;1.09;1.96;1.17;0.59
User 269;0.45;1.4;0.22;0.45
User 270;0.77;1.52;1.28;0.48
User 271;0.8;1.64;0.29;0.42
User 272;0.58;1.28;1.15;0.54
User 273;0.7;1.12;1.92;0.64
User 274;0.77;1.6;2.86;0.56
User 275;1.15;1.76;1.33;2.91
User 276;0.93;1;0.22;0.38
User 277;0.83;1.68;1.55;0.5
User 278;0.83;1.24;0.38;0.49
User 279;1.12;1.56;0.14;0.48
User 280;0.99;0.36;0.22;0.46
User 281;1.15;1.28;1.68;0.51
User 282;0.51;1.2;1.07;0.49
User 283;0.58;1.84;2.18;0.59
User 284;0.74;1.28;1.36;0.66
User 285;0.9;1.52;0.32;0.59
User 286;0.51;1.44;0.26;0.48
User 287;0.93;1.76;0.58;2.25
User 288;0.77;1.96;0.93;0.61
User 289;1.18;1.2;0.99;0.46
User 290;0.96;1.32;0.56;0.42
User 291;1.09;1.12;2.35;0.54
User 292;1.09;1.16;0.35;0.41
User 293;0.67;1.52;0.35;0.3
User 294;0.77;0.76;0.8;0.49
User 295;0.58;1.2;0.18;0.38
User 296;0.67;0.84;0.82;1.11
User 297;0.7;1.28;0.26;0.51
User 298;0.77;1.16;1.62;0.57
User 299;1.79;0.88;1.42;0.39
User 300;0.8;1.92;0.35;0.48
User 301;0.61;1.12;0.22;0.53
User 302;0.42;1.16;2.22;0.64
User 303;0.74;0.96;2.27;0.61
User 304;0.61;1.4;0.27;0.41
User 305;1.02;1.04;1.97;0.5
User 306;0.83;1.64;0.35;0.56
User 307;1.02;1.28;0.77;0.47
User 308;0.7;1.48;2.43;0.58
User 309;1.55;0;0.24;0.74
User 310;0.51;1.2;2.19;0.64
User 311;0.51;1.76;0.22;0.49
User 312;0.54;1.52;0.24;0.37
User 313;0.38;1.16;1.65;0.45
User 314;0.77;1.48;1.19;0.49
User 315;0.58;1.8;0.7;0.53
User 316;1.09;0.76;0.93;0.47
User 317;0.96;1.32;2.05;0.47
User 318;0.67;1.28;0.14;0.43
User 319;0.74;1;2.77;0.53
User 320;0.93;1.2;0.18;0.25
User 321;1.02;1;0.27;0.39
User 322;1.09;1;0.77;0.43
User 323;3.22;1.84;0.22;0.53
User 324;0.48;1.16;0.21;0.33
User 325;0.45;1.2;0.86;0.51
User 326;0.96;0.88;1.63;0.56
User 327;0.54;1.6;2.33;0.54
User 328;0.86;1.72;1.2;0.56
User 329;1.41;1.96;1.23;0.51
User 330;0.8;1.16;1.2;0.56
User 331;0.74;1.44;0.24;0.34
User 332;0.67;1.36;1.9;0.45
User 333;1.47;0.72;0.53;0.62
User 334;0.7;0.76;0.18;0.73
User 335;0.74;1.84;0.16;0.62
User 336;0.74;1.08;1.57;0.63
User 337;0.48;1.88;1.82;0.4
User 338;0.38;1.32;0.46;0.5
User 339;0.77;1.36;0.43;0.54
User 340;1.57;1.28;0.83;0.49
User 341;0.77;2.2;1.3;0.46
User 342;0.64;1.52;1.89;0.63
User 343;0.99;1.52;1.68;0.35
User 344;1.25;1.24;2.3;0.49
User 345;0.7;0.96;0.74;0.5
User 346;0.58;1.2;0.16;0.35
User 347;0.93;1.88;0.48;0.59
User 348;0.54;1.32;0.96;0.41
User 349;0.67;1.08;2.9;0.48
User 350;0.8;1.12;2.3;0.63
User 351;1.57;0.92;1.06;0.39
User 352;0.99;1.12;0.24;0.42
User 353;1.18;0.88;1.33;0.29
User 354;0.58;0.88;0.88;0.42
User 355;0.83;1.48;0.88;0.29
User 356;0.86;1.04;0.56;0.81
User 357;0.54;1.36;0.24;1.04
User 358;1.09;1.36;2.02;0.55
User 359;0.67;0.96;0.37;0.54
User 360;1.76;1.2;1.3;0.3
User 361;0.58;1.48;0.19;0.56
User 362;1.09;1.6;1.3;0.53
User 363;0.99;2;2.13;0.64
User 364;0.83;1.16;0.16;0.37
User 365;0.46;1.96;0.86;0.55
User 366;1.12;2.12;1.62;0.61
User 367;1.31;0.88;0.77;0.59
User 368;0.74;1;0.22;0.56
User 369;0.93;1;1.7;0.45
User 370;0.58;1.2;0.19;0.53
User 371;1.02;0.92;1.54;0.3
User 372;0.35;1.36;2.25;0.46
User 373;1.47;1.04;1.01;1.68
User 374;1.79;1.04;1.74;0.69
User 375;0.74;1.24;0.72;0.53
User 376;0.9;1.84;2.46;0.67
User 377;1.41;0.96;1.94;0.64
User 378;0.7;2.96;0.43;0.5
User 379;0.77;0.96;0.29;0.54
User 380;0.48;1.68;0.27;0.51
User 381;0.67;1.48;0.51;0.24
User 382;0.64;1.6;0.3;0.17
User 383;0.86;1.6;0.19;0.87
User 384;0.83;2;1.82;0.33
User 385;0.64;1.2;0.14;0.22
User 386;0.8;1.48;2.16;0.69
User 387;0.8;2;1.22;0.54
User 388;1.06;0.84;0.16;0.61
User 389;0.8;1.48;0.42;0.57
User 390;0.64;1.76;0.16;0.65
User 391;0.8;1.96;1.44;0.5
User 392;0.83;1.24;0.58;0.29
User 393;0.96;1.96;1.31;0.63
User 394;0.86;0.96;0.19;0.5
User 395;1.76;0.56;1.33;0.37
User 396;0.74;1.4;1.65;0.48
User 397;1.15;1.4;1.38;0.43
User 398;1.57;1.96;1.12;0.49
User 399;0.74;1.16;0.5;0.26
User 400;0.77;1.64;1.39;0.41
User 401;0.9;1.04;0.27;0.48
User 402;0.77;1.12;1.84;0.57
User 403;0.8;1.16;0.18;0.78
User 404;0.45;1.52;0.16;0.47
User 405;0.96;1.96;1.97;0.56
User 406;1.06;1.76;1.42;0.63
User 407;0.64;1.08;1.74;0.43
User 408;0.8;1.12;2.3;0.63
User 409;1.18;2.8;1.94;0.45
User 410;0.64;1.72;2.4;0.61
User 411;0.7;1.24;1.01;0.33
User 412;0.96;1.88;0.22;0.56
User 413;0.74;2.72;1.76;0.54
User 414;1.44;2.6;1.55;0.91
User 415;0.9;1.24;0.34;0.53
User 416;0.58;1.24;2.77;0.63
User 417;0.77;1.8;0.61;0.31
User 418;0.86;1.48;0.14;0.29
User 419;0.64;1.24;0.26;0.43
User 420;1.39;1.52;1.47;0.66
User 421;0.8;1.56;3.03;0.43
User 422;1.12;1;0.9;0.37
User 423;0.51;2.92;0.16;1.58
User 424;0.64;1.6;0.24;0.42
User 425;0.64;1.6;1.23;0.37
User 426;1.97;0.4;0.22;0.78
User 427;1.02;2.48;1.7;0.41
User 428;0.7;1.28;0.35;0.32
User 429;0.9;1.32;0.19;0.45
User 430;1.02;1.2;0.3;0.38
User 431;0.42;0.88;2.03;0.66
User 432;0.99;1.36;1.09;0.67
User 433;0.74;2;1.66;0.49
User 434;1.31;2.64;1.73;0.58
User 435;0.83;2.32;1.26;0.47
User 436;1.12;1.44;0.26;0.43
User 437;0.54;1.36;0.32;0.46
User 438;1.06;1.08;0.13;2.11
User 439;0.48;1.56;0.29;0.49
User 440;0.8;0.72;0.22;0.64
User 441;0.93;1.28;0.93;0.46
User 442;0.77;1.2;0.19;0.42
User 443;0.77;1.4;0.19;0.43
User 444;1.06;1.36;0.32;0.5
User 445;0.72;0.96;1.57;0.62
User 446;1.25;0.96;0.43;0.19
User 447;0.7;2.88;1.09;0.48
User 448;0.74;1.12;1.54;0.29
User 449;0.61;1.04;1.42;0.45
User 450;0.86;1;0.93;0.43
User 451;0.42;1.08;0.42;0.4
User 452;0.54;1.08;0.74;0.57
User 453;1.09;0.92;1.01;0.45
User 454;0.67;1.36;1.9;0.49
User 455;1.22;0.92;1.04;0.57
User 456;0.96;1.68;1.18;0.29
User 457;0.96;0.68;0.45;0.46
User 458;0.9;1.04;0.3;0.56
User 459;0.9;1.04;2;0.53
User 460;0.7;1.96;0.61;0.48
User 461;0.67;1.2;0.9;0.5
User 462;0.99;1.24;0.15;0.24
User 463;0.83;1.32;0.24;0.54
User 464;0.99;1.24;1.58;0.46
User 465;1.78;1.04;0.72;0.61
User 466;0.74;1.32;2.05;0.64
User 467;1.55;1.16;0.66;0.3
User 468;0.7;1.36;0.29;0.65
User 469;1.31;0.96;0.86;0.4
User 470;1.09;1.4;0.29;0.48
User 471;0.74;1.08;2.26;0.38
User 472;0.74;1.28;0.3;0.43
User 473;0.58;1.48;0.21;0.46
User 474;0.72;1.52;0.19;0.85
User 475;0.96;1.08;1.86;0.32
User 476;1.38;1.12;1.92;0.64
User 477;0.64;1.16;1.89;0.4
User 478;0.8;1.12;1.16;0.32
User 479;0.83;0.84;2.59;0.85
User 480;0.77;1.16;1.36;0.42
User 481;0.64;0.6;1.06;0.53
User 482;0.42;1.36;1.49;0.71
User 483;1.38;1.28;0.22;0.55
User 484;0.58;2.96;1.9;0.53
User 485;0.83;1.72;1.88;0.51
User 486;0.7;1.2;1.42;0.27
User 487;0.96;1.28;0.21;0.62
User 488;0.7;1;0.18;0.57
User 489;1.18;1.32;0.62;0.31
User 490;0.99;0.92;0.32;0.79
User 491;1.38;1.12;1.8;0.37
User 492;1.18;1.28;0.26;0.33
User 493;0.7;1.16;0.14;0.39
User 494;1.09;2.64;2.54;0.53
User 495;0.93;2.2;0.35;0.57
User 496;0.77;1.36;0.18;0.39
User 497;0.51;0.88;0.26;0.48
User 498;0.61;1.24;2.32;0.51
User 499;0.77;1.16;2.13;0.45
User 500;0.9;1.12;0.67;0.5
User 501;0.96;2;1.94;0.51
User 502;2.72;1.96;1.39;0.32
User 503;0.9;1.08;2.48;0.41
User 504;0.64;1.28;0.48;0.35
User 505;0.99;1.04;0.35;0.58
User 506;2.5;2;0.24;0.51
User 507;0.86;1.04;1.31;0.48
User 508;0.7;1;1.78;0.64
User 509;0.86;0.76;1.06;0.51
User 510;1.12;2.04;0.19;0.33
User 511;1.22;1.16;2.18;0.55
User 512;0.96;1.2;0.19;0.33
User 513;0.67;1.24;0.96;0.53
User 514;0.77;1.88;2.43;0.65
User 515;0.86;1.2;0.35;0.42
User 516;0.9;1;2.84;0.5
User 517;1.31;0;0.26;0.72
User 518;0.64;1.04;2.03;0.53
User 519;0.96;1.28;0.22;0.37
User 520;0.77;1.08;0.3;0.55
User 521;0.51;1.36;0.13;0.33
User 522;0.86;1.04;1.89;0.61
User 523;0.51;1.08;2.48;0.57
User 524;0.74;0.96;0.26;0.42
User 525;0.7;1.64;2.46;0.57
User 526;0.86;1.36;1.68;0.49
User 527;0.7;1.12;1.23;0.49
User 528;0.77;1.4;0.16;0.59
User 529;1.34;1.64;0.37;0.39
User 530;0.53;0.96;0.18;0.58
User 531;0.86;0.6;0.24;0.64
User 532;1.12;0.16;0.19;0.69
User 533;0.83;1.2;1.25;0.56
User 534;0.8;1.08;1.45;0.45
User 535;0.9;0.88;1.84;0.41
User 536;0.58;1.12;1.57;0.45
User 537;0.74;2.24;2.63;0.72
User 538;0.64;1.04;2.35;0.51
User 539;0.61;1.84;0.61;0.47
User 540;0.96;1.16;0.36;0.42
User 541;0.8;1.36;0.75;0.35
User 542;1.44;0.28;0.18;0.34
User 543;0.83;1.08;0.24;0.46
User 544;0.7;1.56;0.96;0.4
User 545;0.99;1.04;1.17;0.57
User 546;0.86;2.96;0.24;0.41
User 547;0.61;1.64;0.18;0.46
User 548;0.96;1.48;0.21;0.58
User 549;0.96;1.92;1.18;0.61
User 550;0.96;1.32;0.34;0.48
User 551;1.23;1;0.59;0.35
User 552;1.06;1.04;2.5;0.56
User 553;0.9;0.88;1.17;0.47
User 554;1.63;1.2;0.67;0.75
User 555;0.67;2.4;0.34;0.53
User 556;0.7;0.88;2.66;0.5
User 557;0.58;1.48;0.24;0.49
User 558;0.96;0.88;0.22;0.53
User 559;0.96;1;0.3;0.33
User 560;1.06;0.8;0.29;0.35
User 561;0.74;0.8;1.82;0.5
User 562;0.93;1.6;3.11;0.49
User 563;0.9;0.88;1.94;0.55
User 564;0.7;1.52;1.46;0.5
User 565;0.77;1.56;0.24;0.62
User 566;0.99;1.08;1.41;0.24
User 567;0.74;1.68;2.89;0.57
User 568;0.7;1.6;2.36;0.48
User 569;1.15;2.12;2.06;0.56
User 570;0.58;1.2;0.32;0.43
User 571;0.9;2.16;2.06;0.56
User 572;0.74;1.36;0.21;0.29
User 573;0.77;1.08;1.82;0.39
User 574;0.67;1.76;0.3;0.41
User 575;0.96;1.44;0.72;0.62
User 576;0.74;1.28;1.36;0.66
User 577;0.77;0.88;0.24;0.43
User 578;0.64;1.48;0.24;0.56
User 579;0.67;1.48;0.26;0.56
User 580;0.86;0.96;0.74;1.12
User 581;0.83;1.36;1.07;0.33
User 582;0.64;1.36;1.52;0.47
User 583;0.9;1.2;0.85;0.62
User 584;0.67;1.6;0.19;0.45
User 585;1.06;1.28;0.16;0.47
User 586;1.47;1.04;0.43;0.48
User 587;0.48;1.12;0.7;0.33
User 588;0.96;1.6;0.29;0.32
User 589;0.58;1.04;2.77;0.58
User 590;0.93;2.08;0.27;0.39
User 591;0.96;1.12;0.91;0.5
User 592;0.83;1.32;0.18;0.31
User 593;0.7;2.28;0.22;2.38
User 594;0.83;1.96;1.33;0.54
User 595;1.12;0.8;0.91;0.39
User 596;1.76;0.6;1.57;0.35
User 597;0.96;1.32;0.37;0.49
User 598;0.77;1.08;0.22;0.65
User 599;0.86;0.96;2.02;0.5
User 600;1.12;2.96;0.16;0.5
User 601;0.64;1.36;0.91;0.4
User 602;1.15;0.8;0.26;3.1
User 603;0.67;2.2;2.34;0.61
User 604;0.77;1.48;0.29;0.35
User 605;1.22;0.68;1.41;0.91
User 606;0.64;1.2;0.94;0.39
User 607;1.09;1;1.02;0.4
User 608;1.31;1.36;0.75;0.48
User 609;1.06;3.12;1.58;0.48
User 610;0.7;1.32;0.34;0.59
User 611;0.66;0.64;2.01;0.58
User 612;0.74;1.04;1.3;0.62
User 613;0.83;0.92;0.82;0.39
User 614;0.67;1.28;0.26;0.51
User 615;1.87;0.28;1.14;0.5
User 616;0.54;1.16;0.38;0.33
User 617;0.7;1.44;0.22;0.64
User 618;1.82;1.56;0.62;0.39
User 619;1.25;1.04;0.43;0.43
User 620;0.96;1.32;0.56;0.38
User 621;0.74;1.32;0.16;0.49
User 622;0.8;1.8;1.25;0.55
User 623;0.99;1.32;2.03;0.43
User 624;0.74;0.96;0.62;0.51
User 625;0.9;1.48;1.46;0.42
User 626;1.66;0.24;0.43;0.59
User 627;0.8;1.92;1.6;0.5
User 628;0.75;1.08;1.88;0.34
User 629;0.7;0.88;0.19;0.43
User 630;0.58;1.44;0.21;0.41
User 631;0.7;1.36;0.19;0.41
User 632;2.05;1.2;0.19;0.34
User 633;0.51;1.2;0.42;0.49
User 634;0.61;1.2;2.05;0.61
User 635;0.83;1.96;0.83;0.46
User 636;0.8;1.12;1.6;0.63
User 637;0.86;1.4;1.25;0.55
User 638;1.38;0.96;1.07;0.66
User 639;1.06;1.44;0.42;0.58
User 640;0.51;1.96;0.21;0.42
User 641;1.73;0.84;2.61;0.63
User 642;0.54;2.96;0.38;0.61
User 643;1.09;2.76;0.21;0.66
User 644;0.74;1.56;0.24;0.61
User 645;0.93;2.24;1.9;0.49
User 646;0.61;1.56;0.19;0.41
User 647;0.94;0.8;0.35;0.56
User 648;0.64;1.52;0.21;0.39
User 649;0.38;1.44;0.34;0.5
User 650;1.09;1.96;1.17;0.51
User 651;0.58;1.24;0.26;0.56
User 652;0.8;1.32;0.34;0.24
User 653;0.61;1.56;0.19;0.41
User 654;0.7;1.32;0.32;0.51
User 655;0.48;1.12;2.35;0.58
User 656;0.74;1.56;2.27;0.66
User 657;0.7;1.64;1.07;0.39
User 658;1.34;0.76;1.1;0.47
User 659;0.72;1.6;0.67;0.34
User 660;0.8;1.8;0.37;0.51
User 661;0.99;1.96;2.46;0.53
User 662;1.09;0.64;1.12;0.42
User 663;0.7;0.8;2.56;0.5
User 664;0.93;0.92;0.18;0.5
User 665;1.06;1.28;1.3;0.43
User 666;1.5;1.16;2.37;0.27
User 667;1.95;1.52;1.94;3.44
User 668;1.25;1.04;1.58;0.67
User 669;0.54;1.16;0.8;0.32
User 670;0.51;1.48;0.21;0.41
User 671;1.63;0.96;0.34;0.49
User 672;0.77;1.6;2.46;0.59
User 673;1.76;0.68;1.31;0.46
User 674;0.86;1;0.29;0.47
User 675;0.83;0.6;0.19;0.61
User 676;0.58;1.96;0.18;0.38
User 677;0.77;1.16;0.32;0.26
User 678;2.26;0.4;2.08;0.5
User 679;1.66;1.04;0.91;0.43
User 680;0.8;1.56;0.34;0.41
User 681;1.02;1.04;0.24;0.65
User 682;0.96;1.16;0.45;0.29
User 683;0.83;0.96;1.47;0.5
User 684;0.96;1.96;0.26;0.51
User 685;0.86;1.84;1.78;0.61
User 686;0.9;1;2.06;0.62
User 687;0.77;1.36;0.75;0.46
User 688;1.02;1.4;0.22;0.57
User 689;0.9;1.68;0.29;0.35
User 690;0.7;1.28;0.94;0.62
User 691;0.83;0.72;0.22;0.39
User 692;0.77;1.48;0.98;0.31
User 693;0.93;1.28;0.22;0.25
User 694;0.77;1.88;0.21;0.49
User 695;0.96;1.8;0.56;2.25
User 696;0.7;1.32;0.27;0.47
User 697;1.66;2.16;1.26;0.41
User 698;1.34;0.8;0.22;0.69
User 699;0.83;1.04;0.35;0.4
User 700;0.74;1.96;1.25;0.4
User 701;0.45;1.96;0.94;0.61
